"order_id","customer_id","provider","payment_method","currency","amount","amount_bucket","country","device","transaction_type","result_status","reason_code","invoice_date","payment_date","chargeback_flag","retries","days_since_invoice","days_since_last_event","prev_success_cnt","prev_total_cnt","customer_prior_success_rate","label_recovered_30d"
"O001112","C00023","Adyen","mastercard","USD","61.66","mid","FR","ios","auth","failed","insufficient_funds","2024-03-19",NULL,False,0,1,608,"0","1","0",0
"O008740","C00023","Credorax","visa","GBP","44.65","mid","DE","ios","auth","failed","do_not_honor","2024-06-21","2024-07-12",False,3,1,514,"0","2","0",1
"O003113","C00023","Chase","visa","USD","40.13","mid","CY","android","capture","failed","limit_exceeded","2024-08-18",NULL,False,1,0,457,"0","3","0",0
"O004401","C00023","Adyen","visa","USD","17.26","low","ES","web","auth","failed","incorrect_cvv","2025-04-02","2025-04-04",False,2,2,228,"0","4","0",1
"O002159","C00024","Adyen","visa","USD","41.73","mid","IT","web","auth","success",NULL,"2024-06-17","2024-06-17",False,0,2,517,"0","0",NULL,1
"O009208","C00024","Worldpay","mastercard","GBP","7.89","low","GB","web","auth","failed","incorrect_cvv","2024-10-30",NULL,False,1,1,383,"1","1","1",0
"O000707","C00024","Amex","amex","GBP","31.92","mid","US","web","auth","failed","insufficient_funds","2024-12-04",NULL,False,3,2,347,"1","2","0.5",0
"O003132","C00024","Chase","visa","GBP","25.82","mid","GB","web","auth","success",NULL,"2024-12-26","2024-12-31",False,1,0,327,"1","3","0.3333333333333333",1
"O006680","C00024","Credorax","mastercard","GBP","6.36","low","ES","android","auth","failed","expired_card","2025-09-08","2025-09-14",False,2,2,69,"2","4","0.5",1
"O009637","C00025","Adyen","paypal","USD","14.13","low","ES","web","capture","success",NULL,"2025-02-06","2025-02-08",False,1,0,285,"0","0",NULL,1
"O006708","C00025","Worldpay","visa","GBP","48.59","mid","GB","web","auth","success",NULL,"2025-07-09","2025-07-12",False,0,0,132,"1","1","1",1
"O006927","C00026","Worldpay","visa","USD","39.07","mid","ES","web","capture","failed","processor_declined","2024-03-30",NULL,False,3,1,597,"0","0",NULL,0
"O004173","C00026","Adyen","mastercard","EUR","70.48","mid","FR","ios","auth","failed","processor_declined","2024-05-20","2024-06-11",False,2,0,547,"0","1","0",1
"O010762","C00026","Worldpay","paypal","EUR","27.98","mid","US","web","auth","success",NULL,"2024-12-20","2024-12-22",False,0,0,333,"0","2","0",1
"O000318","C00026","Safecharge/Nuvei","apple_pay","GBP","9.87","low","GB","web","capture","success",NULL,"2025-04-05","2025-04-06",True,3,0,227,"1","3","0.3333333333333333",1
"O001240","C00027","Safecharge/Nuvei","mastercard","GBP","11.32","low","IE","web","auth","success",NULL,"2024-03-23","2024-03-24",False,0,0,605,"0","0",NULL,1
"O001682","C00027","Safecharge/Nuvei","mastercard","GBP","18.71","low","GB","web","auth","failed","limit_exceeded","2025-05-16","2025-05-19",False,2,0,186,"1","1","1",1
"O009214","C00027","Chase","visa","EUR","7.08","low","DE","web","auth","success",NULL,"2025-09-25","2025-09-28",False,0,1,53,"1","2","0.5",1
"O003040","C00028","Safecharge/Nuvei","visa","EUR","106.39","high","GB","web","auth","failed","stolen_card","2024-03-01",NULL,False,2,0,628,"0","0",NULL,0
"O006398","C00028","Safecharge/Nuvei","visa","GBP","53.76","mid","NL","android","auth","success",NULL,"2024-06-07","2024-06-07",False,0,0,529,"0","1","0",1
"O002044","C00028","Adyen","mastercard","GBP","14.91","low","DE","web","capture","success",NULL,"2024-09-21","2024-09-21",False,1,0,423,"1","2","0.5",1
"O002427","C00028","Credorax","visa","GBP","26.83","mid","GB","web","auth","failed","expired_card","2024-11-12","2024-12-04",False,2,0,371,"2","3","0.6666666666666666",1
"O002936","C00028","Adyen","visa","GBP","20.65","low","ES","web","auth","failed","insufficient_funds","2024-12-07",NULL,False,1,0,346,"2","4","0.5",0
"O010060","C00028","Safecharge/Nuvei","mastercard","GBP","30.89","mid","IT","web","auth","success",NULL,"2025-07-14","2025-07-17",False,0,1,126,"2","5","0.4",1
"O009161","C00029","Credorax","paypal","GBP","43.09","mid","US","web","auth","success",NULL,"2024-06-15","2024-06-18",False,0,0,521,"0","0",NULL,1
"O010834","C00030","Adyen","visa","EUR","50.29","mid","FR","web","auth","failed","expired_card","2024-03-10",NULL,False,2,0,618,"0","0",NULL,0
"O003565","C00030","Adyen","visa","USD","15.55","low","ES","web","auth","failed","processor_declined","2024-04-12","2024-04-22",False,0,1,584,"0","1","0",1
"O001757","C00030","Worldpay","visa","GBP","103.15","high","GB","web","capture","failed","do_not_honor","2024-06-22",NULL,False,2,1,513,"0","2","0",0
"O011442","C00030","Safecharge/Nuvei","visa","GBP","51.26","mid","GB","android","refund","failed","limit_exceeded","2024-07-13",NULL,False,0,0,493,"0","3","0",0
"O003982","C00030","Adyen","visa","GBP","71.35","mid","CY","ios","capture","success",NULL,"2024-07-24","2024-07-29",False,0,0,482,"0","4","0",1
"O004208","C00030","Worldpay","visa","EUR","7.30","low","ES","ios","capture","success",NULL,"2024-08-31","2024-09-04",False,0,1,443,"1","5","0.2",1
"O011778","C00030","Adyen","visa","USD","33.15","mid","CY","web","auth","failed","processor_declined","2025-01-06","2025-01-09",False,2,1,315,"2","6","0.3333333333333333",1
"O011079","C00030","Adyen","mastercard","EUR","7.93","low","DE","ios","auth","success",NULL,"2025-06-15","2025-06-20",False,1,1,155,"2","7","0.2857142857142857",1
"O005256","C00031","Adyen","visa","GBP","19.77","low","GB","web","capture","success",NULL,"2024-09-10","2024-09-12",False,0,0,434,"0","0",NULL,1
"O001780","C00031","Credorax","visa","GBP","57.63","mid","IE","web","auth","success",NULL,"2025-02-12","2025-02-17",False,0,2,277,"1","1","1",1
"O004656","C00032","Safecharge/Nuvei","mastercard","GBP","14.90","low","CY","android","auth","failed","do_not_honor","2024-06-09",NULL,False,2,2,525,"0","0",NULL,0
"O003511","C00032","Adyen","amex","EUR","53.60","mid","FR","web","auth","success",NULL,"2024-12-27","2025-01-02",False,2,1,325,"0","1","0",1
"O006903","C00033","Safecharge/Nuvei","paypal","EUR","79.26","mid","FR","ios","auth","failed","processor_declined","2024-05-18",NULL,False,2,0,549,"0","0",NULL,0
"O001103","C00033","Amex","visa","GBP","9.34","low","GB","ios","auth","success",NULL,"2024-10-14","2024-10-16",False,0,0,400,"0","1","0",1
"O002218","C00033","Worldpay","visa","GBP","13.02","low","FR","web","auth","success",NULL,"2024-12-19","2024-12-20",False,0,2,332,"1","2","0.5",1
"O000857","C00033","Chase","apple_pay","GBP","60.83","mid","FR","web","auth","failed","limit_exceeded","2025-04-10","2025-04-20",False,2,1,221,"2","3","0.6666666666666666",1
"O008419","C00034","Worldpay","visa","GBP","18.33","low","FR","web","auth","success",NULL,"2024-06-27","2024-07-03",False,0,0,509,"0","0",NULL,1
"O008890","C00034","Credorax","visa","GBP","32.44","mid","FR","web","auth","failed","limit_exceeded","2024-10-07","2024-10-23",False,4,0,407,"1","1","1",1
"O005866","C00034","Adyen","mastercard","GBP","31.10","mid","GB","ios","capture","success",NULL,"2024-10-25","2024-10-31",False,3,0,389,"1","2","0.5",1
"O009055","C00034","Safecharge/Nuvei","apple_pay","USD","92.59","mid","IE","web","auth","success",NULL,"2025-02-15","2025-02-21",False,1,0,276,"2","3","0.6666666666666666",1
"O001911","C00034","Worldpay","visa","GBP","31.41","mid","NL","android","auth","success",NULL,"2025-05-08","2025-05-10",False,1,1,193,"3","4","0.75",1
"O010560","C00034","Worldpay","paypal","USD","34.43","mid","IT","web","auth","success",NULL,"2025-07-12","2025-07-17",False,0,1,129,"4","5","0.8",1
"O001491","C00035","Safecharge/Nuvei","visa","GBP","22.80","low","DE","web","auth","success",NULL,"2024-01-30","2024-01-31",False,0,0,658,"0","0",NULL,1
"O000732","C00035","Amex","amex","EUR","15.98","low","FR","web","auth","failed","incorrect_cvv","2024-03-30",NULL,False,2,1,597,"1","1","1",0
"O004117","C00035","Adyen","visa","GBP","122.17","high","US","ios","capture","failed","expired_card","2024-04-20","2024-04-26",False,2,1,576,"1","2","0.5",1
"O003799","C00035","Adyen","paypal","GBP","38.64","mid","FR","android","refund","failed","stolen_card","2024-04-22",NULL,False,2,1,574,"1","3","0.3333333333333333",0
"O007544","C00035","Safecharge/Nuvei","apple_pay","EUR","58.80","mid","GB","web","auth","failed","processor_declined","2024-04-28","2024-05-23",False,0,1,568,"1","4","0.25",1
"O009991","C00035","Safecharge/Nuvei","mastercard","EUR","4.69","low","FR","web","capture","success",NULL,"2024-11-21","2024-11-23",False,0,2,360,"1","5","0.2",1
"O011975","C00035","Adyen","visa","EUR","69.34","mid","GB","web","auth","success",NULL,"2025-03-15","2025-03-20",False,1,1,247,"2","6","0.3333333333333333",1
"O010569","C00035","Worldpay","visa","USD","43.32","mid","US","android","auth","failed","expired_card","2025-06-30",NULL,False,0,1,140,"3","7","0.42857142857142855",0
"O003369","C00035","Worldpay","amex","GBP","16.17","low","GB","android","auth","success",NULL,"2025-08-20","2025-08-25",False,0,2,88,"3","8","0.375",1
"O006010","C00036","Worldpay","mastercard","EUR","50.55","mid","CY","web","auth","success",NULL,"2024-02-03","2024-02-07",False,0,1,653,"0","0",NULL,1
"O007036","C00036","Worldpay","visa","GBP","20.58","low","GB","web","auth","success",NULL,"2024-03-14","2024-03-20",False,0,2,612,"1","1","1",1
"O011225","C00036","Amex","visa","GBP","30.41","mid","DE","web","auth","success",NULL,"2025-03-28","2025-04-02",False,1,2,233,"2","2","1",1
"O004889","C00037","Amex","visa","GBP","3.40","low","ES","web","capture","success",NULL,"2024-07-10","2024-07-15",False,0,0,496,"0","0",NULL,1
"O005568","C00037","Credorax","visa","GBP","56.22","mid","IT","ios","capture","success",NULL,"2024-09-27","2024-09-27",False,0,0,417,"1","1","1",1
"O000025","C00037","Adyen","mastercard","EUR","3.44","low","GB","web","auth","success",NULL,"2025-01-31","2025-02-05",False,1,2,289,"2","2","1",1
"O006060","C00037","Worldpay","amex","GBP","15.23","low","IE","web","auth","success",NULL,"2025-08-01","2025-08-07",False,0,0,109,"3","3","1",1
"O000941","C00038","Adyen","visa","GBP","25.94","mid","CY","web","auth","success",NULL,"2024-07-11","2024-07-17",False,2,1,494,"0","0",NULL,1
"O005823","C00038","Worldpay","visa","EUR","67.40","mid","GB","web","refund","failed","limit_exceeded","2024-11-29","2024-12-20",False,2,0,354,"1","1","1",1
"O004872","C00039","Adyen","visa","USD","48.98","mid","FR","web","auth","failed","incorrect_cvv","2024-04-22",NULL,False,1,0,575,"0","0",NULL,0
"O011917","C00039","Adyen","mastercard","GBP","7.42","low","US","android","auth","failed","processor_declined","2024-06-02",NULL,False,0,1,533,"0","1","0",0
"O002288","C00039","Credorax","visa","GBP","15.84","low","ES","android","auth","failed","limit_exceeded","2024-08-15",NULL,False,1,1,459,"0","2","0",0
"O006660","C00039","Safecharge/Nuvei","visa","EUR","18.07","low","US","ios","auth","failed","expired_card","2024-12-18","2025-01-13",False,2,0,335,"0","3","0",1
"O004523","C00039","Chase","visa","GBP","8.69","low","FR","android","auth","success",NULL,"2025-04-04","2025-04-10",False,1,1,227,"0","4","0",1
"O010283","C00039","Adyen","visa","GBP","83.54","mid","GB","ios","auth","failed","limit_exceeded","2025-06-25","2025-06-26",False,3,2,145,"1","5","0.2",1
"O007552","C00040","Worldpay","visa","USD","25.81","mid","FR","web","auth","success",NULL,"2024-05-22","2024-05-22",False,1,0,545,"0","0",NULL,1
"O007140","C00040","Worldpay","mastercard","EUR","73.45","mid","GB","web","auth","failed","insufficient_funds","2024-08-31",NULL,False,2,1,443,"1","1","1",0
"O000205","C00040","Adyen","visa","GBP","20.76","low","NL","ios","auth","failed","insufficient_funds","2024-12-13",NULL,False,1,1,339,"1","2","0.5",0
"O007187","C00040","Amex","visa","EUR","7.77","low","IT","web","auth","failed","stolen_card","2025-02-26",NULL,False,1,1,265,"1","3","0.3333333333333333",0
"O011891","C00040","Worldpay","amex","GBP","79.22","mid","CY","web","auth","failed","stolen_card","2025-05-26",NULL,False,1,0,176,"1","4","0.25",0
"O009720","C00041","Amex","visa","EUR","36.23","mid","US","web","auth","failed","do_not_honor","2024-01-19","2024-02-12",False,2,0,669,"0","0",NULL,1
"O003939","C00041","Adyen","mastercard","EUR","82.09","mid","GB","web","auth","failed","processor_declined","2024-01-30",NULL,False,1,1,657,"0","1","0",0
"O000911","C00041","Safecharge/Nuvei","mastercard","EUR","16.48","low","GB","web","capture","success",NULL,"2024-02-22","2024-02-25",False,1,0,635,"0","2","0",1
"O003911","C00041","Adyen","paypal","GBP","24.57","low","ES","web","auth","failed","incorrect_cvv","2024-09-15","2024-10-14",False,2,2,427,"1","3","0.3333333333333333",1
"O004175","C00041","Adyen","visa","USD","8.13","low","GB","ios","auth","failed","limit_exceeded","2024-10-28",NULL,True,1,1,385,"1","4","0.25",0
"O005978","C00041","Safecharge/Nuvei","mastercard","GBP","60.98","mid","GB","ios","auth","success",NULL,"2025-05-04","2025-05-08",False,0,2,196,"1","5","0.2",1
"O004482","C00041","Amex","apple_pay","EUR","46.03","mid","GB","web","refund","failed","stolen_card","2025-05-27","2025-06-11",False,1,2,173,"2","6","0.3333333333333333",1
"O010890","C00041","Credorax","visa","EUR","31.45","mid","IT","web","capture","failed","processor_declined","2025-06-11",NULL,False,0,2,158,"2","7","0.2857142857142857",0
"O007110","C00041","Adyen","mastercard","GBP","19.33","low","IE","ios","auth","success",NULL,"2025-07-06","2025-07-09",False,0,1,134,"2","8","0.25",1
"O008151","C00041","Amex","visa","EUR","7.88","low","IT","android","auth","failed","limit_exceeded","2025-09-28",NULL,False,1,0,51,"3","9","0.3333333333333333",0
"O002414","C00042","Credorax","visa","GBP","23.71","low","GB","web","auth","failed","incorrect_cvv","2024-09-19",NULL,False,0,1,424,"0","0",NULL,0
"O010498","C00042","Safecharge/Nuvei","mastercard","USD","19.57","low","NL","web","auth","failed","processor_declined","2024-09-21","2024-09-25",False,2,0,423,"0","1","0",1
"O010057","C00042","Adyen","mastercard","GBP","20.05","low","NL","web","auth","success",NULL,"2024-10-30","2024-10-30",False,0,1,383,"0","2","0",1
"O006904","C00042","Worldpay","paypal","GBP","31.18","mid","ES","ios","capture","failed","expired_card","2024-10-30","2024-11-05",False,1,0,384,"0","2","0",1
"O010057","C00042","Adyen","mastercard","GBP","20.05","low","NL","web","auth","success",NULL,"2024-10-30","2024-10-30",False,0,1,383,"1","3","0.3333333333333333",1
"O006904","C00042","Worldpay","paypal","GBP","31.18","mid","ES","ios","capture","failed","expired_card","2024-10-30","2024-11-05",False,1,0,384,"1","3","0.3333333333333333",1
"O006908","C00042","Amex","paypal","EUR","45.15","mid","IT","web","auth","failed","incorrect_cvv","2024-12-28",NULL,False,1,1,324,"1","4","0.25",0
"O002089","C00042","Worldpay","mastercard","USD","60.22","mid","NL","ios","auth","failed","do_not_honor","2025-08-13",NULL,False,0,2,95,"1","5","0.2",0
"O000955","C00044","Adyen","visa","GBP","21.78","low","GB","android","auth","success",NULL,"2025-04-15","2025-04-15",False,1,2,215,"0","0",NULL,1
"O011794","C00044","Adyen","mastercard","GBP","28.40","mid","GB","web","auth","success",NULL,"2025-07-10","2025-07-10",False,1,0,131,"1","1","1",1
"O001129","C00044","Chase","mastercard","EUR","30.61","mid","DE","web","auth","success",NULL,"2025-08-30","2025-08-30",False,1,0,80,"2","2","1",1
"O010726","C00045","Credorax","paypal","EUR","36.65","mid","IE","ios","auth","failed","insufficient_funds","2024-04-09","2024-04-30",False,1,1,587,"0","0",NULL,1
"O000325","C00045","Adyen","visa","GBP","16.65","low","NL","web","auth","success",NULL,"2025-06-29","2025-06-30",False,0,2,140,"0","1","0",1
"O003068","C00046","Worldpay","mastercard","GBP","78.59","mid","CY","web","auth","failed","expired_card","2024-02-19",NULL,False,0,0,638,"0","0",NULL,0
"O008665","C00047","Worldpay","mastercard","USD","29.56","mid","GB","ios","auth","failed","stolen_card","2024-05-30","2024-06-16",False,0,1,536,"0","0",NULL,1
"O003385","C00047","Safecharge/Nuvei","mastercard","GBP","30.93","mid","ES","web","auth","failed","limit_exceeded","2025-05-01",NULL,False,3,1,200,"0","1","0",0
"O004354","C00047","Worldpay","mastercard","EUR","62.37","mid","IE","android","auth","success",NULL,"2025-09-29","2025-09-29",False,1,2,49,"0","2","0",1
"O002873","C00048","Credorax","visa","GBP","24.30","low","IT","web","auth","failed","do_not_honor","2024-04-15",NULL,False,2,0,582,"0","0",NULL,0
"O007824","C00048","Credorax","visa","USD","83.71","mid","NL","web","capture","failed","do_not_honor","2024-08-17","2024-08-31",False,1,2,456,"0","1","0",1
"O003284","C00048","Adyen","mastercard","GBP","118.82","high","DE","ios","auth","failed","processor_declined","2025-07-20",NULL,False,1,2,119,"0","2","0",0
"O008475","C00049","Adyen","mastercard","EUR","25.13","mid","DE","web","auth","success",NULL,"2024-02-14","2024-02-19",False,1,1,642,"0","0",NULL,1
"O002825","C00049","Amex","visa","EUR","22.18","low","FR","android","auth","success",NULL,"2024-02-24","2024-02-26",False,0,1,632,"1","1","1",1
